participant_id,block,trial,time,type,mtr_auto1,mtr_auto2,gauge1_level,gauge1_oob,gauge1_reset,gauge2_level,gauge2_oob,gauge2_reset,gauge3_level,gauge3_oob,gauge3_reset,gauge4_level,gauge4_oob,gauge4_reset,total_oob,total_reset,mtr_rxn_time,nav_auto,uav1_moving,uav1_idle,uav1_fuel,uav1_patha_length,uav1_patha_stormchance,uav1_pathb_length,uav1_pathb_stormchance,uav1_onpath,uav1_stormhit,uav1_goal,uav1_atgoal,uav1_goalsreached,uav1_score,uav2_moving,uav2_idle,uav2_fuel,uav2_patha_length,uav2_patha_stormchance,uav2_pathb_length,uav2_pathb_stormchance,uav2_onpath,uav2_stormhit,uav2_goal,uav2_atgoal,uav2_goalsreached,uav2_score,uav3_moving,uav3_idle,uav3_fuel,uav3_patha_length,uav3_patha_stormchance,uav3_pathb_length,uav3_pathb_stormchance,uav3_onpath,uav3_stormhit,uav3_goal,uav3_atgoal,uav3_goalsreached,uav3_score,uav4_moving,uav4_idle,uav4_fuel,uav4_patha_length,uav4_patha_stormchance,uav4_pathb_length,uav4_pathb_stormchance,uav4_onpath,uav4_stormhit,uav4_goal,uav4_atgoal,uav4_goalsreached,uav4_score,total_goals_reached,total_score,chat_auto,message,response,correct_answer,chat_rxn_time
81dc66ee,3,1,01:21:2026_09:18:06,Chat Msg,False,True,94,False,False,112,False,False,147,False,False,90,False,False,0,0,N/A,False,False,False,1000,217,0.01,251,0.0,NA,False,1,False,0,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,1000,203,0.64,216,0.95,NA,False,4,False,0,0,0,0,False,What is the length of Path B for UAV RED?,N/A,,N/A
81dc66ee,3,1,01:21:2026_09:18:06,UAV Path A,False,True,94,False,False,112,False,False,147,False,False,90,False,False,0,0,N/A,False,True,False,1000,217,0.01,251,0.0,A,False,1,False,0,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,1000,203,0.64,216,0.95,NA,False,4,False,0,0,0,0,False,What is the length of Path B for UAV RED?,N/A,,N/A
81dc66ee,3,1,01:21:2026_09:18:09,UAV at Goal,False,True,80,False,False,112,False,False,100,False,False,90,False,False,0,0,N/A,False,False,False,787.0,217,0.01,251,0.0,NA,False,1,True,1,10,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,1000,203,0.64,216,0.95,NA,False,4,False,0,0,1,10,False,What is the length of Path B for UAV RED?,N/A,,N/A
81dc66ee,3,1,01:21:2026_09:18:12,UAV Path A,False,True,80,False,False,112,False,False,100,False,False,43,False,False,0,0,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,True,False,1000,203,0.64,216,0.95,A,True,4,False,0,0,1,10,False,What is the length of Path B for UAV RED?,N/A,,N/A
81dc66ee,3,1,01:21:2026_09:18:12,Monitor OOB,False,True,80,False,False,87,True,False,100,False,False,43,False,False,1,0,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,True,False,984.0,203,0.64,216,0.95,A,True,4,False,0,0,1,10,False,What is the length of Path B for UAV RED?,N/A,,N/A
81dc66ee,3,1,01:21:2026_09:18:12,Monitor Reset,False,True,80,False,False,120,False,True,100,False,False,43,False,False,1,1,0.000472,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,True,False,984.0,203,0.64,216,0.95,A,True,4,False,0,0,1,10,False,What is the length of Path B for UAV RED?,N/A,,N/A
81dc66ee,3,1,01:21:2026_09:18:14,UAV Hit Storm,False,True,80,False,False,120,False,False,100,False,False,43,False,False,1,1,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,902.0,203,0.64,216,0.95,A,True,4,False,0,0,1,10,False,What is the length of Path B for UAV RED?,N/A,,N/A
81dc66ee,3,1,01:21:2026_09:18:14,UAV Idle,False,True,80,False,False,120,False,False,100,False,False,43,False,False,1,1,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,900.0,203,0.64,216,0.95,A,True,4,False,0,0,1,10,False,What is the length of Path B for UAV RED?,N/A,,N/A
81dc66ee,3,1,01:21:2026_09:18:14,UAV Idle,False,True,80,False,False,120,False,False,100,False,False,43,False,False,1,1,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,900.0,203,0.64,216,0.95,A,True,4,False,0,0,1,10,False,What is the length of Path B for UAV RED?,N/A,,N/A
8280745d,3,1,01:21:2026_09:19:00,Chat Msg,False,True,83,False,False,123,False,False,119,False,False,69,False,False,0,0,N/A,False,False,False,1000,217,0.01,251,0.0,NA,False,1,False,0,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,1000,203,0.64,216,0.95,NA,False,4,False,0,0,0,0,False,What is the current goal of UAV RED?,N/A,,N/A
